timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-11-26 14:00:48,Tuesday,shared sauna,0,19,6.93,overcast clouds,7.24,overcast clouds,No
2024-11-26 14:04:30,Tuesday,shared sauna,3,19,6.93,overcast clouds,7.24,overcast clouds,No
2024-11-26 14:08:13,Tuesday,shared sauna,3,19,6.93,overcast clouds,7.24,overcast clouds,No
2024-11-26 14:11:55,Tuesday,shared sauna,5,23,6.93,overcast clouds,7.24,overcast clouds,No
2024-11-26 14:15:38,Tuesday,shared sauna,7,25,6.08,scattered clouds,6.12,scattered clouds,No
2024-11-26 14:19:20,Tuesday,shared sauna,7,25,6.08,scattered clouds,6.12,scattered clouds,No
2024-11-26 14:23:03,Tuesday,shared sauna,7,30,6.08,scattered clouds,6.18,scattered clouds,No
2024-11-26 14:26:45,Tuesday,shared sauna,7,30,6.08,scattered clouds,6.17,light rain,No
2024-11-26 14:30:28,Tuesday,shared sauna,9,19,5.9,light rain,6.17,light rain,No
2024-11-26 14:34:10,Tuesday,shared sauna,9,22,5.9,light rain,6.17,light rain,No
2024-11-26 14:37:53,Tuesday,shared sauna,9,22,5.9,light rain,6.17,light rain,No
2024-11-26 14:41:35,Tuesday,shared sauna,9,24,5.88,light rain,6.17,light rain,No
2024-11-26 14:45:18,Tuesday,shared sauna,9,24,5.88,light rain,6.17,light rain,No
2024-11-26 14:49:00,Tuesday,shared sauna,9,25,5.9,light rain,6.17,light rain,No
2024-11-26 14:52:42,Tuesday,shared sauna,9,25,5.9,light rain,6.17,light rain,No
2024-11-26 14:56:25,Tuesday,shared sauna,10,28,5.9,light rain,6.17,light rain,No
2024-11-26 15:00:14,Tuesday,shared sauna,10,28,6.26,light rain,6.26,light rain,No
2024-11-26 15:03:56,Tuesday,shared sauna,11,27,6.26,light rain,6.26,light rain,No
2024-11-26 15:07:39,Tuesday,shared sauna,11,27,6.26,light rain,6.26,light rain,No
2024-11-26 15:11:21,Tuesday,shared sauna,11,28,6.26,light rain,6.26,light rain,No
2024-11-26 15:15:04,Tuesday,shared sauna,11,26,6.26,light rain,6.26,light rain,No
2024-11-26 15:18:46,Tuesday,shared sauna,11,26,6.26,light rain,6.26,light rain,No
2024-11-26 15:22:29,Tuesday,shared sauna,10,25,5.9,light rain,6.17,light rain,No
2024-11-26 15:26:11,Tuesday,shared sauna,10,24,5.85,light rain,6.17,light rain,No
